Field,Range,Description
Streptococcus oralis ATCC 35037 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus oralis Uo5 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus oralis strain S.MIT/ORALIS-351 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus oralis subsp. dentisani ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus oralis subsp. tigurinus ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus parasanguinis ATCC 15912 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus parasanguinis FW213 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus parauberis ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus pasteurianus ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus pasteurianus ATCC 43144 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus periodonticum ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus peroris ATCC 700780 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus phage TP-778L ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus phage YMC-2011 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus phage phiARI0131-1 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus pluranimalium ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus porcinus ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus pyogenes ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus pyogenes MGAS2096 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus salivarius ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus salivarius CCHSS3 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus salivarius JIM8777 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus salivarius strain HSISS4 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus salivarius strain JF ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus salivarius strain NCTC ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sanguinis ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sanguinis SK36 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sobrinus ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. 116-D4 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. 1171_SSPC ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. 1643 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. 263_SSPC ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. 2_1_36FAA ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. 343_SSPC ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. 400_SSPC ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. 449_SSPC ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. A12 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. A12 sp. A12 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. AS14 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. AS20 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. BS29a ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. C150 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. C300 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. CCH5-D3 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. CCH8-C6 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. CCH8-H5 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. CCUG 49591 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. CM6 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. CM7 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. ChDC B345 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. DD10 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. F0441 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. F0442 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. FDAARGOS_192 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. FDAARGOS_520 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. FDAARGOS_522 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. HMSC034A12 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. HMSC034B03 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. HMSC034E03 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. HMSC034E12 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. HMSC034F03 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. HMSC056C01 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. HMSC057G03 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. HMSC061D10 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. HMSC061E03 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. HMSC062D07 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. HMSC062H02 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. HMSC063B03 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. HMSC064D12 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. HMSC064H09 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. HMSC065C01 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. HMSC065E03 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. HMSC065H07 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. HMSC066F01 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. HMSC067H01 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. HMSC068F04 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. HMSC070B10 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. HMSC071D03 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. HMSC072C09 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. HMSC072D03 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. HMSC072D05 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. HMSC072D07 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. HMSC072G04 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. HMSC073A12 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. HMSC073D05 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. HMSC073F11 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. HMSC074B11 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. HMSC074F05 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. HMSC076C08 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. HMSC076C09 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. HMSC077D04 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. HMSC077F03 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. HMSC078D09 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. HMSC078H03 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. HMSC078H12 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. HMSC10A01 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. HMSC10E12 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. HMSC34B10 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. HPH0090 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. HSISS3 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. I-G2 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. I-G2 sp. I-G2 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. I-P16 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. I-P16 sp. I-P16 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. KS 6 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. LPB0220 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. M143 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. NCTC 11567 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. NPS 308 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. SK140 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. SK643 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. SR1 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. SR4 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. oral taxon 061 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. oral taxon 064 strain W10853 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus sp. oral taxon 431 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus suis ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus suis 05HAS68 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus suis 6407 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus suis D9 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus suis GZ1 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus suis JS14 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus suis SC070731 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus suis SS12 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus suis strain 90-1330 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus thermophilus ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus thermophilus ASCC 1275 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus thermophilus CNRZ1066 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus thermophilus JIM 8232 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus thermophilus LMD-9 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus thermophilus LMG 18311 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
